Time,Interior Temp,Exterior Temp,Relative Humidity,Air Pressure,Acceleration (X),Acceleration (Z)
494,37.01,36.13,36.94,12.26,1.028,0.613
495,37.01,36.13,37.1,12.26,0.806,0.539
496,37.01,36.13,36.94,12.26,1.043,0.717
497,37.01,36.13,36.79,12.26,0.835,0.747
498,37.89,36.13,36.79,12.26,0.85,0.628
499,37.89,36.13,37.42,12.26,1.028,0.584
500,37.89,36.13,37.57,12.26,0.673,0.747
501,37.01,36.13,37.26,12.26,0.806,0.673
502,37.01,36.13,37.1,12.26,0.732,0.599
503,37.89,36.13,37.73,12.27,0.998,0.776
504,37.01,36.13,37.57,12.26,0.45,1.072
505,39.65,36.13,37.73,12.26,0.998,0.85
506,37.89,36.13,37.1,12.26,0.628,0.806
507,37.01,36.13,37.26,12.26,0.554,0.717
508,37.89,36.13,37.42,12.26,0.91,0.613
509,37.01,36.13,37.26,12.26,0.584,0.806
510,37.89,36.13,37.42,12.26,1.028,0.732
511,37.89,36.13,37.73,12.26,1.221,0.865
512,37.89,36.13,37.42,12.26,1.324,0.761
513,37.89,36.13,37.73,12.26,0.628,0.865
514,37.89,36.13,37.42,12.26,1.206,0.702
515,37.89,36.13,37.73,12.26,1.072,0.732
516,38.77,36.13,37.57,12.26,0.806,0.865
517,37.89,36.13,37.57,12.26,0.51,0.747
518,37.89,36.13,37.57,12.26,0.687,1.013
519,38.77,36.13,37.42,12.26,0.821,0.747
520,37.89,36.13,37.42,12.26,0.51,0.613
521,37.89,36.13,37.57,12.26,0.524,0.702
522,37.89,36.13,37.57,12.26,0.584,0.673
523,37.89,36.13,37.73,12.26,0.865,0.702
524,37.89,36.13,37.26,12.26,0.747,0.88
525,39.65,36.13,37.42,12.22,0.998,0.791
526,37.01,36.13,37.57,12.26,0.702,0.776
527,37.89,36.13,37.26,12.26,1.013,0.85
528,37.89,36.13,37.57,12.26,1.102,0.895
